name,lat,lng,vert,viewcount2020,viewcount2019,viewcount2018,viewcount2017,viewcount2016,viewcount2015
Tamarack Resort,44.671,-116.123,2760,7890,16814,16939,16818,15421,16680
"Havre, Montana",48.550,-109.683,null,28290,53029,55510,61005,55199,62469
Big Sky Resort,45.25000,-111.41667,4366,20245,40873,41090,49346,59860,59339
Blacktail Mountain Ski Area,48.01306,-114.24694,1553,2648,5071,4259,5034,5232,4250
Bridger Bowl Ski Area,45.818,-110.897,2600,5718,10676,9810,9374,9177,9296
Discovery Ski Area,46.25639,-113.24194,1678,1468,2950,3015,3157,2903,2959
Great Divide Montana,46.7497,-112.3043,1503,1457,2512,3356,3169,2926,2768
Lost Trail Powder Mountain,45.692,-113.952,1800,2825,5217,5211,5900,6152,5859
Maverick Mountain Ski Area,45.43500,-113.12944,1750,1639,3206,3168,2632,2650,3151
Montana Snowbowl,47.02,-114.0,2600,3002,6818,7023,8722,6006,5188
Moonlight Basin,45.31417,-111.45083,4166,4811,10542,11364,11403,10147,9867
Red Lodge Mountain,45.191,-109.335,2400,1836,3723,4427,4501,5039,5009
Showdown Ski Area,46.83861,-110.70889,1400,1584,3562,3190,3468,3046,3225
Teton Pass Ski Area,47.92806,-112.81528,1010,1514,2847,3257,3244,3769,3565
Turner Mountain Ski Resort,48.605,-115.63,2110,1370,2574,2628,2276,2729,2547
Whitefish Mountain Resort,48.50,-114.34,2353,10309,20238,22807,27685,27088,22873
Yellowstone Club,45.2313833,-111.4512556,null,22964,59466,58145,60339,57858,73012
Angel Fire Resort,36.38750,-105.27333,2077,3240,7593,8302,7885,7923,7381
Pajarito Mountain Ski Area,35.89417,-106.39028,1440,1968,3686,3513,3698,4284,3718
Red River Ski Area,null,null,null,null,null,null,null,null,null
Sandia Peak Tramway,35.19056,-106.47944,null,18672,42873,41058,44572,48228,35920
Sipapu Ski & Summer Resort,36.154211,-105.548508,1055,1489,3140,3102,3103,3427,2790
Ski Apache,33.39722,-105.79917,1900,5099,11643,15234,20025,13881,7412
Ski Cloudcroft,32.9507083,-105.7072417,700,null,null,null,null,null,null
Ski Santa Fe,35.7963250,-105.8012806,1725,null,null,null,null,null,null
"Taos Ski Valley, New Mexico",36.59778,-105.44500,3281,17128,38044,32967,34511,39145,37879
Alta Ski Area,40.58083,-111.63722,2538,16583,34607,31580,32034,41914,35570
Beaver Mountain,41.968,-111.541,1600,2093,5083,8096,8538,9916,11413
Brian Head Ski Resort,37.683,-112.833,1320,6325,14010,13665,10836,11884,10412
Brighton Ski Resort,40.60000,-111.58333,1995,5843,13474,16878,17328,21310,18008
Cherry Peak Resort,41.92639,-111.75667,1275,null,null,4808,4819,5748,7334
Deer Valley,40.62278,-111.48944,3000,20282,42929,41500,45608,50066,46617
